6.428636263614855295e+00,8.615919611840069936e-02,1.720747063885947226e+00
3.308496816160888088e+00,6.157014874789724923e-02,1.175810720294776068e+00
4.864548753639280854e+00,6.209924441760472646e-02,1.110702199778883292e+00
5.376150764591028697e+00,8.099482245294210847e-02,1.666064813804943201e+00
5.579909325516142715e+00,4.003826571570182069e-02,1.354496879112450536e+00
1.833933416321711363e-01,6.773888169429109762e-02,1.782283338923143834e+00
1.673837231149668536e+00,5.852520278241294532e-02,1.868645676858954330e+00
6.582159612765485335e+00,9.766925190427092063e-02,1.499836772410858776e+00
9.384193891702018675e+00,2.513964311233103655e-02,1.727137914403772179e+00
6.134119202211996580e+00,4.023885292559489790e-02,1.628625502605138609e+00
8.098290495465825245e+00,8.502707972215396703e-02,1.553120787331209174e+00
5.483948040370469457e+00,9.393006603838262303e-02,1.907150895059922302e+00
6.388239977239056344e-01,1.192782457448664235e-02,1.926327011567658509e+00
6.159534075742667980e+00,1.911515629705886829e-02,1.952852204418875637e+00
