8.779386626112033909e+00,5.176543542458236780e-03,1.677286663372451470e+00
3.129416183213510116e+00,4.440902603269694660e-02,1.777279450770964386e+00
4.914707094439682677e+00,2.995181348488783549e-02,1.955889530186077252e+00
3.392638181895580196e+00,6.081819845577303429e-02,1.963494535784430450e+00
8.222838341264928630e+00,9.154640627941934561e-02,1.404221887655928480e+00
5.216265597381752883e-02,8.530738043912078350e-02,1.933029963860521061e+00
1.921507179279462907e+00,2.195801165404595232e-02,1.652150192097300296e+00
6.749345569678063761e+00,2.114258546740265324e-02,1.479464176695193478e+00
7.565603004043694568e+00,3.327348734309168443e-02,1.696941919451667724e+00
7.424978541384012587e+00,2.825139922411872007e-02,1.865751019481357798e+00
3.290979892638553395e+00,4.423672035352585463e-03,1.931356879432814200e+00
1.635230003374399388e-02,7.807139120772432772e-02,1.821403173345593096e+00
2.251976189397442152e+00,4.892425354435808726e-02,1.932375079839692589e+00
6.652449709312893589e+00,4.328132347198048596e-02,1.927498126846064253e+00
